File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture1-6-2.png,"(443, 185)","(507, 185)","(507, 246)","(443, 246)",1
picture1-6-3.png,"(443, 246)","(507, 246)","(507, 308)","(444, 307)",1
picture1-6-4.png,"(444, 307)","(507, 308)","(508, 369)","(444, 369)",1
picture1-6-5.png,"(444, 369)","(508, 369)","(507, 432)","(444, 431)",1
picture1-6-6.png,"(444, 431)","(507, 432)","(509, 495)","(444, 494)",1
picture1-6-7.png,"(444, 494)","(509, 495)","(508, 559)","(444, 556)",0
picture1-6-8.png,"(444, 556)","(508, 559)","(509, 622)","(444, 623)",1
picture1-6-9.png,"(444, 623)","(509, 622)","(509, 687)","(444, 687)",1
picture1-6-10.png,"(444, 687)","(509, 687)","(510, 752)","(444, 752)",1
picture1-6-11.png,"(444, 752)","(510, 752)","(510, 819)","(445, 819)",1
picture1-6-12.png,"(445, 819)","(510, 819)","(511, 886)","(445, 886)",1
picture1-6-13.png,"(445, 886)","(511, 886)","(511, 954)","(443, 955)",1
picture1-6-14.png,"(443, 955)","(511, 954)","(512, 1024)","(444, 1024)",0
picture1-6-15.png,"(444, 1024)","(512, 1024)","(513, 1094)","(444, 1094)",0
picture1-6-16.png,"(444, 1094)","(513, 1094)","(513, 1165)","(444, 1165)",0
picture1-6-17.png,"(444, 1165)","(513, 1165)","(514, 1238)","(444, 1238)",0
picture1-6-18.png,"(444, 1238)","(514, 1238)","(514, 1312)","(444, 1311)",0
picture1-7-0.png,"(506, 66)","(569, 66)","(569, 124)","(506, 125)",0
picture1-7-1.png,"(506, 125)","(569, 124)","(570, 185)","(507, 185)",1
picture1-7-2.png,"(507, 185)","(570, 185)","(570, 246)","(507, 246)",0
picture1-7-3.png,"(507, 246)","(570, 246)","(571, 307)","(507, 308)",1
picture1-7-4.png,"(507, 308)","(571, 307)","(572, 369)","(508, 369)",1
picture1-7-5.png,"(508, 369)","(572, 369)","(573, 432)","(507, 432)",1
picture1-7-6.png,"(507, 432)","(573, 432)","(573, 494)","(509, 495)",1
picture1-7-7.png,"(509, 495)","(573, 494)","(574, 558)","(508, 559)",0
picture1-7-8.png,"(508, 559)","(574, 558)","(574, 622)","(509, 622)",1
picture1-7-9.png,"(509, 622)","(574, 622)","(574, 687)","(509, 687)",0
picture1-7-10.png,"(509, 687)","(574, 687)","(575, 751)","(510, 752)",1
picture1-7-11.png,"(510, 752)","(575, 751)","(577, 819)","(510, 819)",1
picture1-7-12.png,"(510, 819)","(577, 819)","(578, 886)","(511, 886)",1
picture1-7-13.png,"(511, 886)","(578, 886)","(578, 955)","(511, 954)",1
picture1-7-14.png,"(511, 954)","(578, 955)","(579, 1024)","(512, 1024)",0
picture1-7-15.png,"(512, 1024)","(579, 1024)","(580, 1095)","(513, 1094)",0
picture1-7-16.png,"(513, 1094)","(580, 1095)","(581, 1166)","(513, 1165)",0
picture1-7-17.png,"(513, 1165)","(581, 1166)","(584, 1240)","(514, 1238)",0
picture1-7-18.png,"(514, 1238)","(584, 1240)","(584, 1313)","(514, 1312)",0
picture1-8-0.png,"(569, 66)","(631, 66)","(632, 123)","(569, 124)",0
